Chr	Start	End	CE_start	CE_end
NW_003302531.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_26, whole genome shotgun sequence	1	171326	85663	86163
NW_003302530.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_27, whole genome shotgun sequence	1	79363	39681.5	40181.5
NW_003302529.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_28, whole genome shotgun sequence	1	82702	41351	41851
NW_003302528.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_29, whole genome shotgun sequence	1	77981	38990.5	39490.5
NW_003302527.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_31, whole genome shotgun sequence	1	104288	52144	52644
NW_003302526.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_32, whole genome shotgun sequence	1	67898	33949	34449
NW_003302525.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_33, whole genome shotgun sequence	1	127197	63598.5	64098.5
NW_003302524.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_34, whole genome shotgun sequence	1	82892	41446	41946
NW_003302523.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_35, whole genome shotgun sequence	1	85588	42794	43294
NW_003302522.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_36, whole genome shotgun sequence	1	55443	27721.5	28221.5
NW_003302521.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_37, whole genome shotgun sequence	1	50885	25442.5	25942.5
NW_003302520.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_38, whole genome shotgun sequence	1	54598	27299	27799
NW_003302519.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_39, whole genome shotgun sequence	1	56741	28370.5	28870.5
NW_003302518.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_41, whole genome shotgun sequence	1	83393	41696.5	42196.5
NW_003302517.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_43, whole genome shotgun sequence	1	58977	29488.5	29988.5
NW_003302516.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_47, whole genome shotgun sequence	1	50189	25094.5	25594.5
NW_003302515.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_48, whole genome shotgun sequence	1	82330	41165	41665
NW_003302514.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_51, whole genome shotgun sequence	1	60900	30450	30950
NW_003302513.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_52, whole genome shotgun sequence	1	57915	28957.5	29457.5
NW_003302512.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_53, whole genome shotgun sequence	1	42563	21281.5	21781.5
NW_003302511.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_54, whole genome shotgun sequence	1	59709	29854.5	30354.5
NW_003302510.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_57, whole genome shotgun sequence	1	35077	17538.5	18038.5
NW_003302509.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_58, whole genome shotgun sequence	1	58233	29116.5	29616.5
NW_003302508.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_59, whole genome shotgun sequence	1	60404	30202	30702
NW_003302507.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_60, whole genome shotgun sequence	1	54680	27340	27840
NW_003302506.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_61, whole genome shotgun sequence	1	37089	18544.5	19044.5
NW_003302505.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_63, whole genome shotgun sequence	1	30383	15191.5	15691.5
NW_003302504.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_64, whole genome shotgun sequence	1	51199	25599.5	26099.5
NW_003302503.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_65, whole genome shotgun sequence	1	48666	24333	24833
NW_003302502.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_66, whole genome shotgun sequence	1	28436	14218	14718
NW_003302501.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_68, whole genome shotgun sequence	1	42762	21381	21881
NW_003302500.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_70, whole genome shotgun sequence	1	30586	15293	15793
NW_003302499.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_71, whole genome shotgun sequence	1	28414	14207	14707
NW_003302498.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_72, whole genome shotgun sequence	1	27939	13969.5	14469.5
NW_003302497.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_73, whole genome shotgun sequence	1	26592	13296	13796
NW_003302496.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_74, whole genome shotgun sequence	1	30081	15040.5	15540.5
NW_003302495.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_76, whole genome shotgun sequence	1	26132	13066	13566
NW_003302494.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_77, whole genome shotgun sequence	1	26910	13455	13955
NW_003302493.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_80, whole genome shotgun sequence	1	44312	22156	22656
NW_003302492.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_83, whole genome shotgun sequence	1	24864	12432	12932
NW_003302491.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_84, whole genome shotgun sequence	1	47761	23880.5	24380.5
NW_003302490.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_85, whole genome shotgun sequence	1	24006	12003	12503
NW_003302489.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_86, whole genome shotgun sequence	1	47099	23549.5	24049.5
NW_003302488.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_87, whole genome shotgun sequence	1	50767	25383.5	25883.5
NW_003302487.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_88, whole genome shotgun sequence	1	24147	12073.5	12573.5
NW_003302486.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_89, whole genome shotgun sequence	1	22846	11423	11923
NW_003302485.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_90, whole genome shotgun sequence	1	22400	11200	11700
NW_003302484.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_91, whole genome shotgun sequence	1	22377	11188.5	11688.5
NW_003302483.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_92, whole genome shotgun sequence	1	41166	20583	21083
NW_003302482.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_96, whole genome shotgun sequence	1	21493	10746.5	11246.5
NW_003302481.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_97, whole genome shotgun sequence	1	22403	11201.5	11701.5
NW_003302480.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_98, whole genome shotgun sequence	1	20962	10481	10981
NW_003302479.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_99, whole genome shotgun sequence	1	21256	10628	11128
NW_003302478.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_100, whole genome shotgun sequence	1	20959	10479.5	10979.5
NW_003302477.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_103, whole genome shotgun sequence	1	20430	10215	10715
NW_003302476.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_106, whole genome shotgun sequence	1	20070	10035	10535
NW_003302475.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_108, whole genome shotgun sequence	1	20787	10393.5	10893.5
NW_003302474.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_109, whole genome shotgun sequence	1	42950	21475	21975
NW_003302473.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_110, whole genome shotgun sequence	1	20827	10413.5	10913.5
NW_003302472.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_112, whole genome shotgun sequence	1	19564	9782	10282
NW_003302471.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_113, whole genome shotgun sequence	1	19435	9717.5	10217.5
NW_003302470.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_114, whole genome shotgun sequence	1	19422	9711	10211
NW_003301861.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_115, whole genome shotgun sequence	1	19382	9691	10191
NW_003302469.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_117, whole genome shotgun sequence	1	21951	10975.5	11475.5
NW_003302468.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_118, whole genome shotgun sequence	1	19913	9956.5	10456.5
NW_003302467.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_120, whole genome shotgun sequence	1	19368	9684	10184
NW_003302466.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_121, whole genome shotgun sequence	1	18658	9329	9829
NW_003302465.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_122, whole genome shotgun sequence	1	18722	9361	9861
NW_003302464.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_123, whole genome shotgun sequence	1	19715	9857.5	10357.5
NW_003302463.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_125, whole genome shotgun sequence	1	18511	9255.5	9755.5
NW_003302462.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_126, whole genome shotgun sequence	1	19147	9573.5	10073.5
NW_003302461.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_128, whole genome shotgun sequence	1	18776	9388	9888
NW_003302460.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_129, whole genome shotgun sequence	1	18393	9196.5	9696.5
NW_003302459.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_130, whole genome shotgun sequence	1	18728	9364	9864
NW_003302458.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_132, whole genome shotgun sequence	1	18203	9101.5	9601.5
NW_003302457.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_133, whole genome shotgun sequence	1	18967	9483.5	9983.5
NW_003302456.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_135, whole genome shotgun sequence	1	19286	9643	10143
NW_003302455.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_136, whole genome shotgun sequence	1	18177	9088.5	9588.5
NW_003302454.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_137, whole genome shotgun sequence	1	18049	9024.5	9524.5
NW_003302453.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_138, whole genome shotgun sequence	1	17628	8814	9314
NW_003302452.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_139, whole genome shotgun sequence	1	17624	8812	9312
NW_003302451.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_141, whole genome shotgun sequence	1	17526	8763	9263
NW_003302450.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_142, whole genome shotgun sequence	1	17620	8810	9310
NW_003302449.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_143, whole genome shotgun sequence	1	17394	8697	9197
NW_003302448.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_144, whole genome shotgun sequence	1	42461	21230.5	21730.5
NW_003302447.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_146, whole genome shotgun sequence	1	17905	8952.5	9452.5
NW_003302446.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_149, whole genome shotgun sequence	1	16847	8423.5	8923.5
NW_003302445.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_151, whole genome shotgun sequence	1	17353	8676.5	9176.5
NW_003302444.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_152, whole genome shotgun sequence	1	19386	9693	10193
NW_003302443.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_158, whole genome shotgun sequence	1	16071	8035.5	8535.5
NW_003302442.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_159, whole genome shotgun sequence	1	16148	8074	8574
NW_003302441.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_160, whole genome shotgun sequence	1	16358	8179	8679
NW_003302440.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_161, whole genome shotgun sequence	1	17702	8851	9351
NW_003302439.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_163, whole genome shotgun sequence	1	15971	7985.5	8485.5
NW_003302438.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_164, whole genome shotgun sequence	1	15851	7925.5	8425.5
NW_003302437.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_165, whole genome shotgun sequence	1	15836	7918	8418
NW_003302436.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_166, whole genome shotgun sequence	1	16014	8007	8507
NW_003302435.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_167, whole genome shotgun sequence	1	49487	24743.5	25243.5
NW_003302434.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_169, whole genome shotgun sequence	1	16599	8299.5	8799.5
NW_003302433.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_170, whole genome shotgun sequence	1	15673	7836.5	8336.5
NW_003302432.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_172, whole genome shotgun sequence	1	15141	7570.5	8070.5
NW_003302431.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_173, whole genome shotgun sequence	1	15208	7604	8104
NW_003302430.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_176, whole genome shotgun sequence	1	14793	7396.5	7896.5
NW_003302429.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_177, whole genome shotgun sequence	1	14777	7388.5	7888.5
NW_003302428.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_178, whole genome shotgun sequence	1	15941	7970.5	8470.5
NW_003302427.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_179, whole genome shotgun sequence	1	14583	7291.5	7791.5
NW_003302426.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_180, whole genome shotgun sequence	1	14826	7413	7913
NW_003302425.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_181, whole genome shotgun sequence	1	14397	7198.5	7698.5
NW_003302424.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_184, whole genome shotgun sequence	1	14860	7430	7930
NW_003302423.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_185, whole genome shotgun sequence	1	41385	20692.5	21192.5
NW_003302422.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_188, whole genome shotgun sequence	1	14062	7031	7531
NW_003302421.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_189, whole genome shotgun sequence	1	14063	7031.5	7531.5
NW_003302420.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_190, whole genome shotgun sequence	1	14608	7304	7804
NW_003302419.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_191, whole genome shotgun sequence	1	14737	7368.5	7868.5
NW_003302418.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_193, whole genome shotgun sequence	1	13678	6839	7339
NW_003302417.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_195, whole genome shotgun sequence	1	14542	7271	7771
NW_003302416.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_196, whole genome shotgun sequence	1	14784	7392	7892
NW_003302415.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_197, whole genome shotgun sequence	1	13548	6774	7274
NW_003302414.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_199, whole genome shotgun sequence	1	14456	7228	7728
NW_003302413.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_201, whole genome shotgun sequence	1	14150	7075	7575
NW_003302412.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_203, whole genome shotgun sequence	1	12995	6497.5	6997.5
NW_003302411.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_205, whole genome shotgun sequence	1	13037	6518.5	7018.5
NW_003302410.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_206, whole genome shotgun sequence	1	12758	6379	6879
NW_003302409.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_207, whole genome shotgun sequence	1	12741	6370.5	6870.5
NW_003302408.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_208, whole genome shotgun sequence	1	12734	6367	6867
NW_003302407.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_209, whole genome shotgun sequence	1	13614	6807	7307
NW_003302406.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_210, whole genome shotgun sequence	1	12820	6410	6910
NW_003302405.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_211, whole genome shotgun sequence	1	13490	6745	7245
NW_003302404.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_212, whole genome shotgun sequence	1	12623	6311.5	6811.5
NW_003302403.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_213, whole genome shotgun sequence	1	12589	6294.5	6794.5
NW_003302402.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_214, whole genome shotgun sequence	1	12939	6469.5	6969.5
NW_003302401.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_215, whole genome shotgun sequence	1	12671	6335.5	6835.5
NW_003302400.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_216, whole genome shotgun sequence	1	12667	6333.5	6833.5
NW_003302399.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_219, whole genome shotgun sequence	1	12503	6251.5	6751.5
NW_003302398.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_220, whole genome shotgun sequence	1	12567	6283.5	6783.5
NW_003302397.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_221, whole genome shotgun sequence	1	12465	6232.5	6732.5
NW_003302396.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_222, whole genome shotgun sequence	1	14935	7467.5	7967.5
NW_003302395.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_223, whole genome shotgun sequence	1	12436	6218	6718
NW_003302394.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_225, whole genome shotgun sequence	1	12774	6387	6887
NW_003302393.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_226, whole genome shotgun sequence	1	14339	7169.5	7669.5
NW_003302392.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_228, whole genome shotgun sequence	1	12137	6068.5	6568.5
NW_003302391.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_229, whole genome shotgun sequence	1	14132	7066	7566
NW_003302390.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_230, whole genome shotgun sequence	1	12195	6097.5	6597.5
NW_003302389.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_231, whole genome shotgun sequence	1	12023	6011.5	6511.5
NW_003302388.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_233, whole genome shotgun sequence	1	11955	5977.5	6477.5
NW_003302387.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_234, whole genome shotgun sequence	1	13216	6608	7108
NW_003302386.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_235, whole genome shotgun sequence	1	12746	6373	6873
NW_003302385.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_236, whole genome shotgun sequence	1	11975	5987.5	6487.5
NW_003302384.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_239, whole genome shotgun sequence	1	11778	5889	6389
NW_003302383.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_240, whole genome shotgun sequence	1	11761	5880.5	6380.5
NW_003302382.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_241, whole genome shotgun sequence	1	11720	5860	6360
NW_003302381.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_242, whole genome shotgun sequence	1	12482	6241	6741
NW_003302380.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_243, whole genome shotgun sequence	1	11791	5895.5	6395.5
NW_003302379.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_244, whole genome shotgun sequence	1	11945	5972.5	6472.5
NW_003302378.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_246, whole genome shotgun sequence	1	11661	5830.5	6330.5
NW_003302377.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_247, whole genome shotgun sequence	1	11656	5828	6328
NW_003302376.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_248, whole genome shotgun sequence	1	11543	5771.5	6271.5
NW_003302375.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_249, whole genome shotgun sequence	1	11536	5768	6268
NW_003302374.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_250, whole genome shotgun sequence	1	11642	5821	6321
NW_003302373.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_251, whole genome shotgun sequence	1	11483	5741.5	6241.5
NW_003302372.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_252, whole genome shotgun sequence	1	11573	5786.5	6286.5
