Name	Clade	id
Athaliana_AT5G26865_CIS_BP	Beta_3	Ath__AT5G26865
A.lyrata_petraea_g3296.t1	Beta_3	Ape__jg33190
A.arenosa_MJ09_4_g6598.t1	Beta_3	Aaa__jg6598
A.arenosa_MJ09_4_g6710.t1	Beta_3	Aaa__jg6710
A.lyrata_lyrata_XP_002874408	Beta_3	Aly__XP_002874408
A.lyrata_petraea_g3481.t1	Beta_3	Ape__jg33305
A.arenosa_MJ09_4_g6712.t1	Beta_3	Aaa__jg6712
A.lyrata_lyrata_XP_002874407	Beta_3	Aly__XP_002874407
A.lyrata_petraea_g3479.t1	Beta_3	Ape__jg33304
A.lyrata_lyrata_XP_002872250	Beta_3	Aly__XP_002872250
A.lyrata_petraea_g3297.t1	Beta_3	Ape__jg33191
A.arenosa_MJ09_4_g6600.t1	Beta_3	Aaa__jg6600
A.lyrata_lyrata_XP_002885269	Beta_4	Aly__XP_002885269
A.lyrata_petraea_g35750.t1	Beta_4	Ape__jg27905
A.arenosa_MJ09_4_g25996.t1	Beta_4	Aaa__jg25996
Athaliana_At3g18650_AGL103_beta	Beta_4	Ath__AT3G18650
A.lyrata_petraea_g10272.t1	Beta_5	Ape__jg2351
A.arenosa_MJ09_4_g22405.t1	Beta_5	Aaa__jg22405
A.lyrata_lyrata_XP_020879548	Beta_5	Aly__XP_020879548
Athaliana_At5g55690_AGL47_beta	Beta_5	Ath__AT5G55690
A.lyrata_lyrata_XP_002864598	Beta_6	Aly__XP_002864598
A.lyrata_petraea_g10731.t1	Beta_6	Ape__jg2753
A.arenosa_MJ09_4_g22806.t1	Beta_6	Aaa__jg22806
Athaliana_At5g58890_AGL82_beta	Beta_6	Ath__AT5G58890
A.arenosa_MJ09_4_g1023.t1	Beta_7	Aaa__jg1023
A.arenosa_MJ09_4_g1024.t1	Beta_7	Aaa__jg1024
A.lyrata_petraea_g18414.t1	Beta_7	Ape__jg23152
A.lyrata_lyrata_XP_020890320	Beta_7	Aly__XP_020890320
A.lyrata_petraea_g18412.t1	Beta_7	Ape__jg23150
A.arenosa_MJ09_4_g1021.t1	Beta_7	Aaa__jg1021
A.lyrata_lyrata_XP_002888172	Beta_7	Aly__XP_002888172
A.lyrata_lyrata_XP_020890336	Beta_7	Aly__XP_020890336
A.lyrata_petraea_g18474.t1	Beta_7	Ape__jg23180
A.arenosa_MJ09_4_g1060.t1	Beta_7	Aaa__jg1060
A.lyrata_petraea_g4728.t1	Beta_7	Ape__jg33837
Athaliana_At1g60040_AGL49_beta	Beta_7	Ath__AT1G60040
Athaliana_At1g59810_AGL50_beta	Beta_7	Ath__AT1G59810
A.lyrata_lyrata_XP_002891383	Alpha_1	Aly__XP_002891383
A.lyrata_petraea_g45964.t1	Alpha_1	Ape__jg12382
A.arenosa_MJ09_4_g32819.t1	Alpha_1	Aaa__jg32819
A.arenosa_MJ09_4_g32821.t1	Alpha_1	Aaa__jg32821
A.lyrata_petraea_g45971.t1	Alpha_1	Ape__jg12387
A.lyrata_lyrata_XP_002891385	Alpha_1	Aly__XP_002891385
A.lyrata_lyrata_XP_002891382	Alpha_1	Aly__XP_002891382
A.lyrata_petraea_g45961.t1	Alpha_1	Ape__jg12381
A.arenosa_MJ09_4_g32816.t1	Alpha_1	Aaa__jg32816
Athaliana_At1g47760_AGL102_alpha	Alpha_1	Ath__AT1G47760
A.lyrata_lyrata_XP_002884601	Alpha_2a	Aly__XP_002884601
A.lyrata_petraea_g34240.t1	Alpha_2a	Ape__jg26526
A.arenosa_MJ09_4_g24613.t1	Alpha_2a	Aaa__jg24613
Athaliana_At3g66656_AGL91_alpha	Alpha_2a	Ath__AT3G66656
A.lyrata_petraea_g15576.t1	Alpha_2b	Ape__jg6051
A.lyrata_lyrata_XP_020882747	Alpha_2b	Aly__XP_020882747
Athaliana_At2g34440_AGL29_alpha	Alpha_2b	Ath__AT2G34440
A.arenosa_MJ09_4_g18546.t1	Alpha_2b	Aaa__jg18546
A.lyrata_lyrata_XP_020867367	Alpha_3a	Aly__XP_020867367
A.lyrata_petraea_g43364.t1	Alpha_3a	Ape__jg11086
A.arenosa_MJ09_4_g31539.t1	Alpha_3a	Aaa__jg31539
Athaliana_At1g54760_AGL85_alpha	Alpha_3a	Ath__AT1G54760
Athaliana_At1g28450_AGL58_alpha	Alpha_3a	Ath__AT1G28450
Athaliana_At1g28460_AGL59_alpha	Alpha_3a	Ath__AT1G28460
Athaliana_At1g29960_AGL64_alpha	Alpha_3a	Ath__AT1G29960
A.lyrata_lyrata_XP_002875741	Alpha_3b	Aly__XP_002875741
A.lyrata_petraea_g24993.t1	Alpha_3b	Ape__jg15764
A.arenosa_MJ09_4_g14342.t1	Alpha_3b	Aaa__jg14342
A.lyrata_lyrata_XP_002882329	Alpha_4	Aly__XP_002882329
A.lyrata_petraea_g33888.t1	Alpha_4	Ape__jg26194
Athaliana_At2g11990_AGL88_alpha	Alpha_4	Ath__AT2G11990
Athaliana_At3g04100_AGL57_alpha	Alpha_4	Ath__AT3G04100
A.arenosa_MJ09_4_g24273.t1	Alpha_4	Aaa__jg24273
A.lyrata_lyrata_XP_002864686	Alpha_5	Aly__XP_002864686
A.lyrata_petraea_g10922.t1	Alpha_5	Ape__jg2919
A.arenosa_MJ09_4_g22984.t1	Alpha_5	Aaa__jg22984
Athaliana_At5g60440_AGL62_alpha	Alpha_5	Ath__AT5G60440
A.arenosa_MJ09_4_g8679.t1	Alpha_6	Aaa__jg8679
A.lyrata_lyrata_XP_020875559	Alpha_6	Aly__XP_020875559
A.lyrata_petraea_g27958.t1	Alpha_6	Ape__jg18383
Athaliana_At4g36590_AGL40_alpha	Alpha_6	Ath__AT4G36590
A.lyrata_lyrata_XP_002889362	Alpha_7a	Aly__XP_002889362
A.lyrata_petraea_g39810.t1	Alpha_7a	Ape__jg7901
A.arenosa_MJ09_4_g28468.t1	Alpha_7a	Aaa__jg28468
Athaliana_At1g01530_AGL28_alpha	Alpha_7a	Ath__AT1G01530
Athaliana_At1g65360_AGL23_alpha	Alpha_7a	Ath__AT1G65360
A.lyrata_lyrata_XP_020891569	Alpha_7a	Aly__XP_020891569
A.lyrata_petraea_g20047.t1	Alpha_7a	Ape__jg24047
A.arenosa_MJ09_4_g2104.t1	Alpha_7a	Aaa__jg2104
A.lyrata_petraea_g12808.t1	Alpha_7 b	Ape__jg4431
A.arenosa_MJ09_4_g17021.t1	Alpha_7 b	Aaa__jg17021
A.lyrata_lyrata_XP_020883034	Alpha_7 b	Aly__XP_020883034
Athaliana_At2g24840_AGL61_alpha	Alpha_7 b	Ath__AT2G24840
A.lyrata_petraea_g12801.t1	Alpha_7 b	Ape__jg4425
A.arenosa_MJ09_4_g17009.t1	Alpha_7 b	Aaa__jg17009
A.arenosa_MJ09_4_g2870.t1	Alpha_8	Aaa__jg2870
A.lyrata_lyrata_XP_002888870	Alpha_8	Aly__XP_002888870
A.lyrata_petraea_g21038.t1	Alpha_8	Ape__jg24828
Athaliana_At1g72350_AGL60_alpha	Alpha_8	Ath__AT1G72350
A.lyrata_lyrata_XP_002892945	Alpha_9	Aly__XP_002892945
A.lyrata_petraea_g41803.t1	Alpha_9	Ape__jg9755
A.arenosa_MJ09_4_g30256.t1	Alpha_9	Aaa__jg30256
Athaliana_At1g17310_AGL100_alpha	Alpha_9	Ath__AT1G17310
A.lyrata_lyrata_XP_020877424	Alpha_10	Aly__XP_020877424
A.lyrata_petraea_g9145.t1	Alpha_10	Ape__jg1477
A.lyrata_lyrata_XP_020872669	Alpha_10	Aly__XP_020872669
A.arenosa_MJ09_4_g21534.t1	Alpha_10	Aaa__jg21534
A.lyrata_lyrata_XP_020877244	Alpha_10	Aly__XP_020877244
A.arenosa_MJ09_4_g21558.t1	Alpha_10	Aaa__jg21558
A.lyrata_lyrata_XP_020890264	Alpha_10	Aly__XP_020890264
A.lyrata_petraea_g9249.t1	Alpha_10	Ape__jg1549
A.lyrata_petraea_g9204.t1	Alpha_10	Ape__jg1514
A.lyrata_lyrata_XP_020881008	Alpha_10	Aly__XP_020881008
A.arenosa_MJ09_4_g21584.t1	Alpha_10	Aaa__jg21584
A.arenosa_MJ09_4_g21600.t1	Alpha_10	Aaa__jg21600
Athaliana_At5g49420_AGL84_alpha	Alpha_10	Ath__AT5G49420
Athaliana_At5g38620_AGL73_alpha	Alpha_10	Ath__AT5G38620
A.lyrata_lyrata_XP_020890208	Alpha_10	Aly__XP_020890208
A.lyrata_petraea_g9207.t1	Alpha_10	Ape__jg1517
A.arenosa_MJ09_4_g21561.t1	Alpha_10	Aaa__jg21561
A.lyrata_lyrata_XP_020871775	Alpha_11	Aly__XP_020871775
A.lyrata_petraea_g9231.t1	Alpha_11	Ape__jg1538
A.arenosa_MJ09_4_g21583.t1	Alpha_11	Aaa__jg21583
Athaliana_At5g49490_AGL83_alpha	Alpha_11	Ath__AT5G49490
A.lyrata_petraea_g9251.t1	Alpha_10	Ape__jg1551
A.arenosa_MJ09_4_g2215.t1	Alpha_12	Aaa__jg2215
A.lyrata_lyrata_XP_020891752	Alpha_12	Aly__XP_020891752
A.lyrata_petraea_g20219.t1	Alpha_12	Ape__jg24152
A.arenosa_MJ09_4_g14374.t1	Alpha_12	Aaa__jg14374
A.lyrata_lyrata_XP_020880012	Alpha_12	Aly__XP_020880012
Athaliana_At1g46408_AGL97_alpha	Alpha_12	Ath__AT1G46408
A.arenosa_MJ09_4_g4213.t1	Alpha_13	Aaa__jg4213
Athaliana_At5g04640_AGL99_alpha	Alpha_13	Ath__AT5G04640
A.lyrata_lyrata_XP_020879779	Alpha_13	Aly__XP_020879779
A.lyrata_petraea_g22791.t1	Alpha_13	Ape__jg14592
A.arenosa_MJ09_4_g13317.t1	Alpha_13	Aaa__jg13317
A.lyrata_lyrata_XP_002888121	Alpha_14a	Aly__XP_002888121
A.lyrata_petraea_g18233.t1	Alpha_14a	Ape__jg23024
A.arenosa_MJ09_4_g893.t1	Alpha_14a	Aaa__jg893
Athaliana_At1g60880_AGL56_alpha	Alpha_14a	Ath__AT1G60880
A.arenosa_MJ09_4_g889.t1	Alpha_14b	Aaa__jg889
A.lyrata_lyrata_XP_002886576	Alpha_14b	Aly__XP_002886576
Athaliana_At1g60920_AGL55_alpha	Alpha_14b	Ath__AT1G60920
A.lyrata_lyrata_XP_002877286	Alpha_14b	Aly__XP_002877286
A.lyrata_petraea_g24349.t1	Alpha_14b	Ape__jg15404
A.arenosa_MJ09_4_g14041.t1	Alpha_14b	Aaa__jg14041
A.arenosa_MJ09_4_g14068.t1	Alpha_14b	Aaa__jg14068
A.lyrata_lyrata_XP_020882147	Alpha_15	Aly__XP_020882147
A.lyrata_petraea_g24408.t1	Alpha_15	Ape__jg15437
Athaliana_At1g48150_AGL74_alpha	Alpha_15	Ath__AT1G48150
A.arenosa_MJ09_4_g17596.t1	Alpha_16	Aaa__jg17596
A.lyrata_lyrata_XP_020883850	Alpha_16	Aly__XP_020883850
A.arenosa_MJ09_4_g6704.t1	Alpha_16	Aaa__jg6704
A.arenosa_MJ09_4_g6748.t1	Alpha_16	Aaa__jg6748
Athaliana_At5g27130_AGL39_alpha	Alpha_16	Ath__AT5G27130
A.lyrata_lyrata_XP_020889797	Delta_1a	Aly__XP_020889797
A.arenosa_MJ09_4_g3471.t1	Delta_1a	Aaa__jg3471
Athaliana_At1g77980_AGL66_delta	Delta_1a	Ath__AT1G77980
A.lyrata_lyrata_XP_002893213	Delta_1b	Aly__XP_002893213
A.lyrata_petraea_g42438.t1	Delta_1b	Ape__jg10309
A.arenosa_MJ09_4_g30773.t1	Delta_1b	Aaa__jg30773
Athaliana_At1g22130_AGL104_delta	Delta_1b	Ath__AT1G22130
A.lyrata_lyrata_XP_020865771	Delta_2	Aly__XP_020865771
A.lyrata_lyrata_XP_020889727	Delta_2	Aly__XP_020889727
Athaliana_At1g77950_AGL67_delta	Delta_2	Ath__AT1G77950
A.lyrata_petraea_g20670.t1	Delta_3	Ape__jg24502
A.arenosa_MJ09_4_g2540.t1	Delta_3	Aaa__jg2540
A.lyrata_lyrata_XP_020889921	Delta_3	Aly__XP_020889921
Athaliana_At1g69540_AGL94_delta	Delta_3	Ath__AT1G69540
A.lyrata_lyrata_XP_020880220	Delta_4	Aly__XP_020880220
A.lyrata_petraea_g22506.t1	Delta_4	Ape__jg14365
A.arenosa_MJ09_4_g13103.t1	Delta_4	Aaa__jg13103
Athaliana_At2g03060_AGL30_delta	Delta_4	Ath__AT2G03060
A.lyrata_petraea_g41973.t1	Delta_5	Ape__jg9917
A.lyrata_lyrata_XP_002890300	Delta_5	Aly__XP_002890300
Athaliana_At1g18750_AGL65_delta	Delta_5	Ath__AT1G18750
A.arenosa_MJ09_4_g30399.t1	Delta_5	Aaa__jg30399
A.lyrata_lyrata_XP_002870417	Delta_6 (AGL33)	Aly__XP_002870417
A.arenosa_MJ09_4_g11903.t1	Delta_6 (AGL33)	Aaa__jg11903
A.lyrata_lyrata_XP_020884452	Delta_6 (AGL33)	Aly__XP_020884452
A.lyrata_petraea_g13430.t1	Delta_6 (AGL33)	Ape__jg4747
A.arenosa_MJ09_4_g17327.t1	Delta_6 (AGL33)	Aaa__jg17327
Athaliana_At2g26320_AGL33_none	Delta_6 (AGL33)	Ath__AT2G26320
A.lyrata_lyrata_XP_020874518	Delta_7 (AT4G37435)	Aly__XP_020874518
A.arenosa_MJ09_4_g8592.t1	Delta_7 (AT4G37435)	Aaa__jg8592
Athaliana_AT4G37435_CIS_BP	Delta_7 (AT4G37435)	Ath__AT4G37435
A.arenosa_MJ09_4_g5403.t1	MiKC_1a	Aaa__jg5403
Athaliana_At5g15800_AGL2_MIKC	MiKC_1a	Ath__AT5G15800
A.lyrata_petraea_g1766.t1	MiKC_1a	Ape__jg31950
A.lyrata_lyrata_XP_002873742	MiKC_1a	Aly__XP_002873742
A.lyrata_petraea_g33648.t1	MiKC_1b	Ape__jg25967
A.arenosa_MJ09_4_g24046.t1	MiKC_1b	Aaa__jg24046
A.lyrata_lyrata_XP_002884314	MiKC_1b	Aly__XP_002884314
Athaliana_At3g02310_AGL4_MIKC	MiKC_1b	Ath__AT3G02310
A.arenosa_MJ09_4_g31253.t1	MIKC_2	Aaa__jg31253
Athaliana_At1g24260_AGL9_MIKC	MIKC_2	Ath__AT1G24260
A.lyrata_lyrata_XP_002890717	MIKC_2	Aly__XP_002890717
A.lyrata_petraea_g42993.t1	MIKC_2	Ape__jg10776
A.lyrata_lyrata_XP_002875226	MIKC_3	Aly__XP_002875226
A.lyrata_petraea_g22596.t1	MIKC_3	Ape__jg14432
A.arenosa_MJ09_4_g13173.t1	MIKC_3	Aaa__jg13173
Athaliana_At2g03710_AGL3_MIKC	MIKC_3	Ath__AT2G03710
A.lyrata_petraea_g42857.t1	MIKC_4a	Ape__jg10657
A.lyrata_lyrata_XP_002890666	MIKC_4a	Aly__XP_002890666
A.arenosa_MJ09_4_g31128.t1	MIKC_4a	Aaa__jg31128
Athaliana_At1g26310_AGL10_MIKC	MIKC_4a	Ath__AT1G26310
A.lyrata_lyrata_XP_020865978	MIKC_4b	Aly__XP_020865978
A.lyrata_petraea_g20611.t1	MIKC_4b	Ape__jg24454
A.arenosa_MJ09_4_g2490.t1	MIKC_4b	Aaa__jg2490
Athaliana_At1g69120_AGL7_MIKC	MIKC_4b	Ath__AT1G69120
A.lyrata_lyrata_XP_002866402	MIKC_5	Aly__XP_002866402
A.lyrata_petraea_g10985.t1	MIKC_5	Ape__jg2973
Athaliana_At5g60910_AGL8_MIKC	MIKC_5	Ath__AT5G60910
A.arenosa_MJ09_4_g23032.t1	MIKC_5	Aaa__jg23032
A.lyrata_lyrata_XP_002875532	MIKC_6	Aly__XP_002875532
A.lyrata_petraea_g23778.t1	MIKC_6	Ape__jg15143
A.arenosa_MJ09_4_g13855_13856.t1	MIKC_6	Aaa__jg13855
Athaliana_At3g30260_AGL79_MIKC	MIKC_6	Ath__AT3G30260
A.lyrata_lyrata_XP_020884706	MIKC_7	Aly__XP_020884706
A.lyrata_petraea_g17178.t1	MIKC_7	Ape__jg7485
A.arenosa_MJ09_4_g19959.t1	MIKC_7	Aaa__jg19959
Athaliana_At2g45650_AGL6_MIKC	MIKC_7	Ath__AT2G45650
A.arenosa_MJ09_4_g16163.t1	MIKC_8	Aaa__jg16163
A.lyrata_lyrata_XP_020882426	MIKC_8	Aly__XP_020882426
A.lyrata_petraea_g27160.t1	MIKC_8	Ape__jg17646
Athaliana_At3g61120_AGL13_MIKC	MIKC_9a	Ath__AT3G61120
A.lyrata_lyrata_XP_020880598	MIKC_9a	Aly__XP_020880598
A.lyrata_petraea_g26834.t1	MIKC_9a	Ape__jg17358
A.arenosa_MJ09_4_g15905.t1	MIKC_9a	Aaa__jg15905
Athaliana_At3g58780_AGL1_MIKC	MIKC_9a	Ath__AT3G58780
A.lyrata_lyrata_XP_002880005	MIKC_9b	Aly__XP_002880005
A.lyrata_petraea_g16770.t1	MIKC_9b	Ape__jg7112
A.arenosa_MJ09_4_g19602.t1	MIKC_9b	Aaa__jg19602
Athaliana_At2g42830_AGL5_MIKC	MIKC_9b	Ath__AT2G42830
A.lyrata_lyrata_XP_020874538	MIKC_10	Aly__XP_020874538
A.lyrata_petraea_g30238.t1	MIKC_10	Ape__jg20444
A.arenosa_MJ09_4_g10693.t1	MIKC_10	Aaa__jg10693
Athaliana_At4g18960_AGAMOUS_MIKC	MIKC_10	Ath__AT4G18960
A.lyrata_lyrata_XP_020878991	MIKC_11	Aly__XP_020878991
A.arenosa_MJ09_4_g7328.t1	MIKC_11	Aaa__jg7328
A.lyrata_petraea_g4739.t1	MIKC_11	Ape__jg33844
Athaliana_At4g09960_AGL11_MIKC	MIKC_11	Ath__AT4G09960
A.lyrata_petraea_g20955.t1	MIKC_12	Ape__jg24750
A.lyrata_lyrata_XP_002888841	MIKC_12	Aly__XP_002888841
Athaliana_At1g71692_AGL12_MIKC	MIKC_12	Ath__AT1G71692
A.arenosa_MJ09_4_g2788.t1	MIKC_12	Aaa__jg2788
A.lyrata_lyrata_XP_020872012	MIKC_13a	Aly__XP_020872012
A.lyrata_petraea_g9619.t1	MIKC_13a	Ape__jg1837
A.arenosa_MJ09_4_g21868.t1	MIKC_13a	Aaa__jg21868
Athaliana_At5g51870_AGL71_MIKC	MIKC_13a	Ath__AT5G51870
A.arenosa_MJ09_4_g20681.t1	MIKC_13a	Aaa__jg20681
Athaliana_At5g51860_AGL72_MIKC	MIKC_13b	Ath__AT5G51860
A.lyrata_lyrata_XP_002865878	MIKC_13b	Aly__XP_002865878
A.lyrata_petraea_g9618.t1	MIKC_13b	Ape__jg1836
A.arenosa_MJ09_4_g21867.t1	MIKC_13b	Aaa__jg21867
A.lyrata_lyrata_XP_020877745	MIKC_13c	Aly__XP_020877745
A.lyrata_petraea_g11130.t1	MIKC_13c	Ape__jg3106
A.arenosa_MJ09_4_g23166.t1	MIKC_13c	Aaa__jg23166
Athaliana_At5g62165_AGL42_MIKC	MIKC_13c	Ath__AT5G62165
A.lyrata_petraea_g29647.t1	MIKC_14a	Ape__jg19950
A.lyrata_lyrata_XP_020873730	MIKC_14a	Aly__XP_020873730
A.arenosa_MJ09_4_g10230.t1	MIKC_14a	Aaa__jg10230
Athaliana_At4g22950_AGL19_MIKC	MIKC_14a	Ath__AT4G22950
A.lyrata_lyrata_XP_020875880	MIKC_14b	Aly__XP_020875880
A.lyrata_petraea_g5209.t1	MIKC_14b	Ape__jg34142
Athaliana_At4g11880_AGL14_MIKC	MIKC_14b	Ath__AT4G11880
A.arenosa_MJ09_4_g19960.t1	MIKC_15	Aaa__jg19960
Athaliana_At2g45660_AGL20_MIKC	MIKC_15	Ath__AT2G45660
A.lyrata_petraea_g17179.t1	MIKC_15	Ape__jg7486
