Chr;Start;End;gene_id;Clade;Type;Shape;color
5;12675022;12676875;jg15750;MIKC-34;MIKC;triangle;A7CEE2
5;13230060;13232838;jg15905;MIKC-18;MIKC;triangle;A7CEE2
5;14160567;14162615;jg16163;MIKC-10;MIKC;triangle;A7CEE2
6;1499601;1500062;jg4213;Alpha-14;Alpha;circle;6D0026
6;2252574;2253302;jg4429;Gamma-13;Gamma;circle;FF755F
6;3734415;3739892;jg4839;MIKC-32;MIKC;triangle;A7CEE2
6;3752981;3757995;jg4842;MIKC-32;MIKC;triangle;A7CEE2
6;5127009;5128673;jg5189;MIKC-33;MIKC;triangle;A7CEE2
6;5906994;5909238;jg5403;MIKC-1;MIKC;triangle;A7CEE2
6;7712150;7714257;jg5889;MIKC-35;MIKC;triangle;A7CEE2
6;8869312;8871265;jg6175;MIKC-37;MIKC;triangle;A7CEE2
6;10689074;10690129;jg6562;Gamma-3;Gamma;circle;FF755F
6;10711390;10712046;jg6565;Gamma-7;Gamma;circle;FF755F
6;10883384;10884244;jg6598;Beta-3;Beta;circle;CC1A36
6;10886226;10887041;jg6600;Beta-3;Beta;circle;CC1A36
6;11454944;11455927;jg6704;Alpha-18;Alpha;circle;6D0026
6;11470191;11470991;jg6710;Beta-3;Beta;circle;CC1A36
6;11473673;11474518;jg6712;Beta-3;Beta;circle;CC1A36
6;11660432;11660932;jg6748;Alpha-18;Alpha;circle;6D0026
6;11974085;11975099;jg6809;Gamma-3;Gamma;circle;FF755F
6;11987256;11988311;jg6814;Gamma-3;Gamma;circle;FF755F
6;16044783;16047489;jg7328;MIKC-21;MIKC;triangle;A7CEE2
7;929632;932708;jg8537;MIKC-22;MIKC;triangle;A7CEE2
7;1183708;1185328;jg8592;Delta-7;Delta;circle;FFC1AD
7;1560837;1561627;jg8679;Alpha-2;Alpha;circle;6D0026
7;6664118;6666834;jg10023;MIKC-26;MIKC;triangle;A7CEE2
7;7467984;7471325;jg10230;MIKC-15;MIKC;triangle;A7CEE2
7;9227892;9233704;jg10693;MIKC-20;MIKC;triangle;A7CEE2
7;16538106;16539795;jg11903;Delta-8;Delta;circle;FFC1AD
7;19965570;19968585;jg12549;Beta-1;Beta;circle;CC1A36
7;20002400;20003416;jg12556;Beta-1;Beta;circle;CC1A36
7;20254564;20255775;jg12611;Beta-1;Beta;circle;CC1A36
7;20858711;20859823;jg12750;Gamma-9a;Gamma;circle;FF755F
8;1907914;1910399;jg20681;MIKC-13;MIKC;triangle;A7CEE2
8;6613310;6614209;jg21432;Gamma-6a;Gamma;circle;FF755F
8;7170899;7172044;jg21534;Alpha-12;Alpha;circle;6D0026
8;7257295;7258245;jg21558;Alpha-12;Alpha;circle;6D0026
8;7267159;7268136;jg21561;Alpha-12;Alpha;circle;6D0026
8;7385510;7386277;jg21583;Alpha-12;Alpha;circle;6D0026
8;7387102;7388172;jg21584;Alpha-12;Alpha;circle;6D0026
8;7475939;7476190;jg21600;Alpha-12;Alpha;circle;6D0026
8;8725051;8727383;jg21867;MIKC-12;MIKC;triangle;A7CEE2
8;8728788;8731826;jg21868;MIKC-13;MIKC;triangle;A7CEE2
8;10822279;10823100;jg22405;Beta-6;Beta;circle;CC1A36
8;12351703;12352575;jg22806;Beta-7;Beta;circle;CC1A36
8;12961591;12962804;jg22984;Alpha-3;Alpha;circle;6D0026
8;13171951;13175367;jg23032;MIKC-8;MIKC;triangle;A7CEE2
8;13698115;13701674;jg23166;MIKC-14;MIKC;triangle;A7CEE2
8;14962238;14965567;jg23512;MIKC-28;MIKC;triangle;A7CEE2
8;14971053;14974699;jg23514;MIKC-28;MIKC;triangle;A7CEE2
8;14976139;14980570;jg23515;MIKC-30;MIKC;triangle;A7CEE2
8;14982463;14986889;jg23516;MIKC-31;MIKC;triangle;A7CEE2
8;15109013;15110086;jg23546;Beta-2;Beta;circle;CC1A36
